213650.00,4220.30421,N,07105.33822,W,1,06,1.65,11.4,M,-33.2,M,,*47
213651.00,4220.30422,N,07105.33822,W,1,06,1.65,11.4,M,-33.2,M,,*47
213652.00,4220.30424,N,07105.33822,W,1,06,1.65,11.4,M,-33.2,M,,*47
213653.00,4220.30425,N,07105.33822,W,1,06,1.65,11.4,M,-33.2,M,,*47
213654.00,4220.30425,N,07105.33822,W,1,06,1.65,11.4,M,-33.2,M,,*47
213655.00,4220.30424,N,07105.33822,W,1,06,1.65,11.4,M,-33.2,M,,*44
213656.00,4220.30425,N,07105.33822,W,1,06,1.65,11.4,M,-33.2,M,,*45
213657.00,4220.30424,N,07105.33822,W,1,06,1.65,11.4,M,-33.2,M,,*46
213658.00,4220.30425,N,07105.33822,W,1,06,1.65,11.4,M,-33.2,M,,*48
213659.00,4220.30424,N,07105.33822,W,1,06,1.65,11.4,M,-33.2,M,,*46
213660.00,4220.30424,N,07105.33822,W,1,06,1.65,11.4,M,-33.2,M,,*45
213661.00,4220.30424,N,07105.33822,W,1,06,1.65,11.4,M,-33.2,M,,*44
213662.00,4220.30424,N,07105.33822,W,1,06,1.65,11.4,M,-33.2,M,,*42
213663.00,4220.30422,N,07105.33822,W,1,06,1.65,11.4,M,-33.2,M,,*42
213664.00,4220.30424,N,07105.33822,W,1,06,1.65,11.4,M,-33.2,M,,*41
213665.00,4220.30427,N,07105.33822,W,1,06,1.65,11.4,M,-33.2,M,,*47
213666.00,4220.30428,N,07105.33822,W,1,06,1.65,11.4,M,-33.2,M,,*44
213667.00,4220.30426,N,07105.33822,W,1,06,1.65,11.4,M,-33.2,M,,*47
213668.00,4220.30424,N,07105.33822,W,1,06,1.65,11.4,M,-33.2,M,,*44
213669.00,4220.30421,N,07105.33822,W,1,06,1.65,11.4,M,-33.2,M,,*47
213670.00,4220.30421,N,07105.33822,W,1,06,1.65,11.4,M,-33.2,M,,*44
213671.00,4220.30421,N,07105.33822,W,1,06,1.65,11.4,M,-33.2,M,,*45
